"trackid","trackname","albumid","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","composer","milliseconds","bytes","unitprice","invoiceid","customerid","customerfirstname","customerlastname","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","invoicelinequantity","invoicelineunitprice"
2,"Balls to the Wall",2,"Balls to the Wall",2,"Accept",2,"Protected AAC audio file",1,"Rock","U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342562,5510424,"0.99",1,2,"Leonie","Köhler","2021-01-01 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98",1,"0.99"
4,"Restless and Wild",3,"Restless and Wild",2,"Accept",2,"Protected AAC audio file",1,"Rock","F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,"0.99",1,2,"Leonie","Köhler","2021-01-01 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98",1,"0.99"
6,"Put The Finger On You",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",205662,6713451,"0.99",2,4,"Bjørn","Hansen","2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96",1,"0.99"
8,"Inject The Venom",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",210834,6852860,"0.99",2,4,"Bjørn","Hansen","2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96",1,"0.99"
10,"Evil Walks",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",263497,8611245,"0.99",2,4,"Bjørn","Hansen","2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96",1,"0.99"
12,"Breaking The Rules",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",263288,8596840,"0.99",2,4,"Bjørn","Hansen","2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96",1,"0.99"
16,"Dog Eat Dog",4,"Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock","AC/DC",215196,7032162,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
20,"Overdose",4,"Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock","AC/DC",369319,12066294,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
24,"Love In An Elevator",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Joe Perry",321828,10552051,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
28,"Janie's Got A Gun",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Tom Hamilton",330736,10869391,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
32,"Deuces Are Wild",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Jim Vallance",215875,7074167,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
36,"Angel",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Desmond Child",307617,9989331,"0.99",3,8,"Daan","Peeters","2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94",1,"0.99"
42,"Right Through You",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",176117,5793082,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
48,"Not The Doctor",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",227631,7604601,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
54,"Bleed The Freak",7,"Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock","Jerry Cantrell",241946,7847716,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
60,"Confusion",7,"Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock","Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
66,"Por Causa De Você",8,"Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",NULL,169900,5536496,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
72,"Angela",8,"Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",NULL,169508,5574957,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
78,"Master Of Puppets",9,"Plays Metallica By Four Cellos",7,"Apocalyptica",1,"MPEG audio file",3,"Metal","Apocalyptica",436453,14375310,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
84,"Welcome Home (Sanitarium)",9,"Plays Metallica By Four Cellos",7,"Apocalyptica",1,"MPEG audio file",3,"Metal","Apocalyptica",350197,11406431,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
90,"Set It Off",10,"Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock","Audioslave/Chris Cornell",263262,6321091,"0.99",4,14,"Mark","Philips","2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91",1,"0.99"
99,"Your Time Has Come",11,"Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk","Cornell, Commerford, Morello, Wilk",255529,8273592,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
108,"Dandelion",11,"Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk","Cornell, Commerford, Morello, Wilk",278125,9003592,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
117,"Rock 'N' Roll Music",12,"BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll","Chuck Berry",141923,2276788,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
126,"Moon germs",13,"The Best Of Billy Cobham",10,"Billy Cobham",1,"MPEG audio file",2,"Jazz","Billy Cobham",294060,9714812,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
135,"Super Terrorizer",14,"Alcohol Fueled Brewtality Live! [Disc 1]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",NULL,319373,10513905,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
144,"Heart Of Gold",15,"Alcohol Fueled Brewtality Live! [Disc 2]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",NULL,194873,6417460,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
153,"Evil Woman",16,"Black Sabbath",12,"Black Sabbath",1,"MPEG audio file",3,"Metal",NULL,204930,6655170,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
162,"Cornucopia",17,"Black Sabbath Vol. 4 (Remaster)",12,"Black Sabbath",1,"MPEG audio file",3,"Metal","Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
171,"Bowels Of The Devil",18,"Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",NULL,223216,7324125,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
180,"Body Count Anthem",18,"Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",NULL,166426,5463690,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
189,"Jerusalem",19,"Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal","Roy Z",402390,13194463,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
198,"When My Left Eye Jumps",20,"The Best Of Buddy Guy - The Millenium Collection",15,"Buddy Guy",1,"MPEG audio file",6,"Blues","Al Perkins/Willie Dixon",235311,7685363,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
207,"Meditação",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Tom Jobim - Newton Mendoça",148793,4865597,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
216,"Esse Cara",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso",223111,7217126,"0.99",5,23,"John","Gordon","2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86",1,"0.99"
230,"Bye, Bye Brasil",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,283402,9499590,"0.99",6,37,"Fynn","Zimmermann","2021-01-19 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","0.99",1,"0.99"
231,"Atras Da Porta",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,189675,6132843,"0.99",7,38,"Niklas","Schröder","2021-02-01 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","1.98",1,"0.99"
