"trackid","trackname","albumid","composer","milliseconds","bytes","unitprice","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","invoiceid","customerid","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","customerfirstname","customerlastname","customeraddress","customercity","customerstate","customercountry","invoicelinequantity","invoicelineunitprice"
2,"Balls to the Wall",2,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342562,5510424,"0.99","Balls to the Wall",2,"Accept",2,"Protected AAC audio file",1,"Rock",1,2,"2021-01-01 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
4,"Restless and Wild",3,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,"0.99","Restless and Wild",2,"Accept",2,"Protected AAC audio file",1,"Rock",1,2,"2021-01-01 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
6,"Put The Finger On You",1,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",2,4,"2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
8,"Inject The Venom",1,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",2,4,"2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
10,"Evil Walks",1,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",2,4,"2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
12,"Breaking The Rules",1,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",2,4,"2021-01-02 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","3.96","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
16,"Dog Eat Dog",4,"AC/DC",215196,7032162,"0.99","Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
20,"Overdose",4,"AC/DC",369319,12066294,"0.99","Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
24,"Love In An Elevator",5,"Steven Tyler, Joe Perry",321828,10552051,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
28,"Janie's Got A Gun",5,"Steven Tyler, Tom Hamilton",330736,10869391,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
32,"Deuces Are Wild",5,"Steven Tyler, Jim Vallance",215875,7074167,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
36,"Angel",5,"Steven Tyler, Desmond Child",307617,9989331,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",3,8,"2021-01-03 00:00:00","Grétrystraat 63","Brussels",NULL,"Belgium","1000","5.94","Daan","Peeters","Grétrystraat 63","Brussels",NULL,"Belgium",1,"0.99"
42,"Right Through You",6,"Alanis Morissette & Glenn Ballard",176117,5793082,"0.99","Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
48,"Not The Doctor",6,"Alanis Morissette & Glenn Ballard",227631,7604601,"0.99","Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
54,"Bleed The Freak",7,"Jerry Cantrell",241946,7847716,"0.99","Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
60,"Confusion",7,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,"0.99","Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
66,"Por Causa De Você",8,NULL,169900,5536496,"0.99","Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
72,"Angela",8,NULL,169508,5574957,"0.99","Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
78,"Master Of Puppets",9,"Apocalyptica",436453,14375310,"0.99","Plays Metallica By Four Cellos",7,"Apocalyptica",1,"MPEG audio file",3,"Metal",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
84,"Welcome Home (Sanitarium)",9,"Apocalyptica",350197,11406431,"0.99","Plays Metallica By Four Cellos",7,"Apocalyptica",1,"MPEG audio file",3,"Metal",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
90,"Set It Off",10,"Audioslave/Chris Cornell",263262,6321091,"0.99","Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock",4,14,"2021-01-06 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","8.91","Mark","Philips","8210 111 ST NW","Edmonton","AB","Canada",1,"0.99"
