trackname,composer,milliseconds,bytes,unitprice,albumtitle,artistname,mediatypename,genrename,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,invoicetotal,customerfirstname,customerlastname,customeraddress,customercity,customerstate,customercountry,invoicelinequantity,invoicelineunitprice,Day,Month,Year
Balls to the Wall,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342562,5510424,0.99,Balls to the Wall,Accept,Protected AAC audio file,Rock,2021-01-01,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,1.98,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,1,1,2021
Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,0.99,Restless and Wild,Accept,Protected AAC audio file,Rock,2021-01-01,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,1.98,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,1,1,2021
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99,For Those About To Rock We Salute You,AC/DC,MPEG audio file,Rock,2021-01-02,Ullevålsveien 14,Oslo,unknown,Norway,0171,3.96,Bjørn,Hansen,Ullevålsveien 14,Oslo,unknown,Norway,1,0.99,2,1,2021
Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99,For Those About To Rock We Salute You,AC/DC,MPEG audio file,Rock,2021-01-02,Ullevålsveien 14,Oslo,unknown,Norway,0171,3.96,Bjørn,Hansen,Ullevålsveien 14,Oslo,unknown,Norway,1,0.99,2,1,2021
Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,0.99,For Those About To Rock We Salute You,AC/DC,MPEG audio file,Rock,2021-01-02,Ullevålsveien 14,Oslo,unknown,Norway,0171,3.96,Bjørn,Hansen,Ullevålsveien 14,Oslo,unknown,Norway,1,0.99,2,1,2021
Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,0.99,For Those About To Rock We Salute You,AC/DC,MPEG audio file,Rock,2021-01-02,Ullevålsveien 14,Oslo,unknown,Norway,0171,3.96,Bjørn,Hansen,Ullevålsveien 14,Oslo,unknown,Norway,1,0.99,2,1,2021
Dog Eat Dog,AC/DC,215196,7032162,0.99,Let There Be Rock,AC/DC,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Overdose,AC/DC,369319,12066294,0.99,Let There Be Rock,AC/DC,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Love In An Elevator,"Steven Tyler, Joe Perry",321828,10552051,0.99,Big Ones,Aerosmith,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391,0.99,Big Ones,Aerosmith,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Deuces Are Wild,"Steven Tyler, Jim Vallance",215875,7074167,0.99,Big Ones,Aerosmith,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Angel,"Steven Tyler, Desmond Child",307617,9989331,0.99,Big Ones,Aerosmith,MPEG audio file,Rock,2021-01-03,Grétrystraat 63,Brussels,unknown,Belgium,1000,5.94,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,3,1,2021
Right Through You,Alanis Morissette & Glenn Ballard,176117,5793082,0.99,Jagged Little Pill,Alanis Morissette,MPEG audio file,Rock,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,0.99,Jagged Little Pill,Alanis Morissette,MPEG audio file,Rock,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Bleed The Freak,Jerry Cantrell,241946,7847716,0.99,Facelift,Alice In Chains,MPEG audio file,Rock,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Facelift,Alice In Chains,MPEG audio file,Rock,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Por Causa De Você,unknown,169900,5536496,0.99,Warner 25 Anos,Antônio Carlos Jobim,MPEG audio file,Jazz,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Angela,unknown,169508,5574957,0.99,Warner 25 Anos,Antônio Carlos Jobim,MPEG audio file,Jazz,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Master Of Puppets,Apocalyptica,436453,14375310,0.99,Plays Metallica By Four Cellos,Apocalyptica,MPEG audio file,Metal,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Welcome Home (Sanitarium),Apocalyptica,350197,11406431,0.99,Plays Metallica By Four Cellos,Apocalyptica,MPEG audio file,Metal,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Set It Off,Audioslave/Chris Cornell,263262,6321091,0.99,Audioslave,Audioslave,MPEG audio file,Rock,2021-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,6,1,2021
Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592,0.99,Out Of Exile,Audioslave,MPEG audio file,Alternative & Punk,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592,0.99,Out Of Exile,Audioslave,MPEG audio file,Alternative & Punk,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Rock 'N' Roll Music,Chuck Berry,141923,2276788,0.99,BackBeat Soundtrack,BackBeat,MPEG audio file,Rock And Roll,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Moon germs,Billy Cobham,294060,9714812,0.99,The Best Of Billy Cobham,Billy Cobham,MPEG audio file,Jazz,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Super Terrorizer,unknown,319373,10513905,0.99,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,MPEG audio file,Metal,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Heart Of Gold,unknown,194873,6417460,0.99,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,MPEG audio file,Metal,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Evil Woman,unknown,204930,6655170,0.99,Black Sabbath,Black Sabbath,MPEG audio file,Metal,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
